codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao,ignicao
901008,,22,-23.000169,-43.346738,1740100982000,0.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],150786.3,279,1.0
901011,RIV8A74,53,-23.000918,-43.367393,1740099842000,0.0,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],161244.1,136,0.0
901018,,53,-22.920493,-43.396729,1740100700000,52.8,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],132047.299,198,1.0
901012,,22,-23.000728,-43.367285,1740099439000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],134821.6,85,0.0
901014,,22,-23.006505,-43.31287,1740100987000,0.0,,volta,22 - JARDIM OCEÂNICO X ALVORADA (PARADOR) [VOLTA],160452.4,266,1.0
901007,,53,-23.000753,-43.366152,1740099705000,0.0,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],153783.6, ,0.0
901009,,40,-22.920113,-43.367855,1740100980000,2.2,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],116839.2,59,1.0
901013,,22,-23.000998,-43.364394,1740100795000,11.2,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],153917.0,234,1.0
901010,RJM8G30,35,-22.944457,-43.372127,1740100979000,56.2,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],167992.6, ,1.0
901015,,46,-23.001004,-43.364995,1740094837000,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],165168.7, ,0.0
901047,,52,-22.927819,-43.396054,1740100981000,10.4,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],38739.5,334,1.0
901017,,52,-23.000721,-43.367906,1740100718000,14.6,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],135965.8,79,1.0
901063,,51,-23.008669,-43.440368,1740100934000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],226528.5,53,1.0
902319,,60,-22.849122,-43.397294,1740099174000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],16094.4,110,0.0
901006,RJA9F56,22,-23.000898,-43.365618,1740100531000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],156162.4,252,1.0
901005,RJB8E53,51,-22.881475,-43.399831,1740100985000,60.2,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],196432.0,188,1.0
901004,RJQ8J80,52,-22.857941,-43.392269,1740100801000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],175627.9,241,1.0
902095,,40,-22.876905,-43.32975,1740099788000,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],93648.7, ,0.0
902375,,51,-23.003613,-43.433609,1740100968000,21.1,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],3193.9,52,1.0
13409,KPY9733,10,-22.915786,-43.628365,1682554213000,0.0,,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),22420.5, ,
KXM6403 SAVEIRO,KXM6403,0,-23.000864,-43.363499,1740099667000,0.0,,,,19507.0, ,0.0
902090,,40,-22.876856,-43.329612,1740100099000,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],92524.8, ,0.0
KRA7040 - GOL,KRA7040,0,-22.956928,-43.390555,1740094239000,0.0,,,,48527.4, ,0.0
902334,,60,-22.849188,-43.397423,1740100965000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],59841.9,110,1.0
LSG7008 ACELLO INFRA,LSG7008,0,-22.964554,-43.391436,1737230583000,0.0,,,,49467.5, ,0.0
KXE9191 PKP,KXE9191,0,-22.971352,-43.400292,1740100609000,0.0,,,,11566.6, ,0.0
901057,,22,-22.964542,-43.391981,1740098099000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],209095.5,335,0.0
901003,RKM8C54,22,-23.00104,-43.364519,1740100462000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],164508.9,252,1.0
902455,,80,-22.89855,-43.211532,1740099670000,4.3,,volta,80 - TIG X PENHA (PARADOR) [VOLTA],62067.6,120,1.0
KWB9798 - APOIO VAN,KWB9798,0,-23.000835,-43.364992,1740099888000,0.0,,,,4274.7, ,0.0
901002,,52,-22.875741,-43.405414,1740100975000,16.9,,volta,52 - T. ALVORADA X T. DEODORO (PARADOR) [VOLTA],140265.9,326,1.0
902313,,60,-22.853598,-43.383942,1740100974000,0.0,,ida,60 - TERMINAL DEODORO X TIG (PARADOR) [IDA],77928.1, ,1.0
902103,,35,-22.955331,-43.377251,1740100985000,29.7,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],101043.9,49,1.0
901001,RJD7J89,22,-23.000933,-43.365043,1740096825000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],148751.3,141,0.0
901050,,35,-23.000385,-43.368708,1740100315000,27.2,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],168618.6,355,1.0
901077,,52,-22.964503,-43.391746,1740100979000,0.0,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],145833.1, ,1.0
903045,,17,-22.920458,-43.607238,1740100980000,0.0,,volta,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [VOLTA],74005.9,177,1.0
902119,,41,-23.001009,-43.365437,1740100984000,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],99352.1, ,1.0
901058,,51,-22.965146,-43.391301,1740098940000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],214375.1,81,0.0
902105,,41,-22.876353,-43.329943,1740100245000,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],96159.6, ,0.0
901071,,53,-22.9129,-43.400517,1740100859000,55.9,,volta,53 - ALVORADA X SULACAP (EXPRESSO) [VOLTA],205552.4,327,1.0
903027,,42,-22.839633,-43.239601,1740100960000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],550.6,141,1.0
901066,,0,-23.001423,-43.367656,1740100924000,0.0,,,,195025.8,96,1.0
903026,,42,-22.841849,-43.275452,1740100974000,8.0,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],214624.1,82,1.0
903029,,42,-22.839775,-43.239502,1740100977000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],146761.4,148,1.0
902116,,35,-22.876411,-43.330421,1740099188000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],103446.2, ,0.0
902115,,0,-22.876017,-43.329414,1725089581000,0.0,,,,54751.3, ,0.0
903028,,38,-22.954934,-43.376845,1740100981000,58.4,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],212836.6,234,1.0
901061,,51,-22.85359,-43.384094,1740100977000,13.0,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],235909.1,292,1.0
903030,,38,-22.876554,-43.329543,1740079433000,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],0.0, ,0.0
903057,,17,-22.920533,-43.60797,1687766399000,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],12199.8, ,
901051,,35,-22.96577,-43.391366,1740099825000,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],152498.2, ,0.0
901064,,52,-22.925523,-43.397338,1740100969000,53.7,,ida,52 - T. DEODORO X T. ALVORADA (PARADOR) [IDA],223999.6,153,1.0
902107,,43,-22.876337,-43.329757,1740100405000,0.0,,ida,43 - FUNDÃO X SANTA EFIGENIA (EXPRESSO) [IDA],104899.5, ,0.0
901049,,51,-22.853893,-43.384062,1740100664000,0.0,,ida,51 - T. DEODORO X T. RECREIO (PARADOR) [IDA],98714.2,132,1.0
901073,,53,-22.965718,-43.391312,1740100966000,0.0,,ida,53 - SULACAP X ALVORADA (EXPRESSO) [IDA],26373.6, ,1.0
901048,,22,-22.964579,-43.39159,1740100712000,0.0,,ida,22 - ALVORADA X JARDIM OCEÂNICO (PARADOR) [IDA],170806.8, ,0.0
901065,,51,-23.008452,-43.439813,1740100986000,0.0,,volta,51 - T. RECREIO X T.DEODORO (PARADOR) [VOLTA],200846.1,70,1.0
903031,,42,-22.839954,-43.23944,1740100973000,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],157453.6,141,1.0
902092,,40,-22.876425,-43.330248,1740096960000,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],96685.3, ,0.0
